Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.437080    1439 server.go:264] "Starting to serve the podresources API" endpoint="unix:/var/lib/kubelet/pod-resources/kubelet.sock"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: E0716 18:36:56.437158    1439 event.go:368] "Unable to write event (may retry after sleeping)" err="Post \"https://172.18.0.6:6443/api/v1/namespaces/default/events\": dial tcp 172.18.0.6:6443: connect: connection refused" event="&Event{ObjectMeta:{gcp-cluster-control-plane.18c2d904a8ff70c1  default    0 0001-01-01 00:00:00 +0000 UTC <nil> <nil> map[] map[] [] [] []},InvolvedObject:ObjectReference{Kind:Node,Namespace:,Name:gcp-cluster-control-plane,UID:,APIVersion:v1,ResourceVersion:,FieldPath:,},Reason:Starting,Message:Starting kubelet.,Source:EventSource{Component:kubelet,Host:gcp-cluster-control-plane,},FirstTimestamp:2026-07-16 18:36:56.430547137 +0000 UTC m=+0.095502719,LastTimestamp:2026-07-16 18:36:56.430547137 +0000 UTC m=+0.095502719,Count:1,Type:Normal,EventTime:0001-01-01 00:00:00 +0000 UTC,Series:nil,Action:,Related:nil,ReportingController:kubelet,ReportingInstance:gcp-cluster-control-plane,}"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.437573    1439 volume_manager.go:310] "Starting Kubelet Volume Manager"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.437632    1439 dynamic_serving_content.go:135] "Starting controller" name="kubelet-server-cert-files::/var/lib/kubelet/pki/kubelet.crt::/var/lib/kubelet/pki/kubelet.key"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: E0716 18:36:56.437717    1439 dynamic_serving_content.go:144] "Failed to watch cert and key file, will retry later" err="error creating fsnotify watcher: too many open files"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.437712    1439 desired_state_of_world_populator.go:146] "Desired state populator starts to run"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.437750    1439 tlsconfig.go:243] "Starting DynamicServingCertificateController"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.437920    1439 reconciler.go:29] "Reconciler: start to sync state"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.439456    1439 factory.go:222] Registration of the systemd container factory successfully
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: I0716 18:36:56.439562    1439 factory.go:220] Registration of the crio container factory failed: Get "http://%2Fvar%2Frun%2Fcrio%2Fcrio.sock/info": dial unix /var/run/crio/crio.sock: connect: no such file or directory
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: E0716 18:36:56.440683    1439 kubelet_node_status.go:396] "Error getting the current node from lister" err="node \"gcp-cluster-control-plane\" not found"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: E0716 18:36:56.440828    1439 controller.go:201] "Failed to ensure lease exists, will retry" err="Get \"https://172.18.0.6:6443/apis/coordination.k8s.io/v1/namespaces/kube-node-lease/leases/gcp-cluster-control-plane?timeout=10s\": dial tcp 172.18.0.6:6443: connect: connection refused" interval="200ms"
Jul 16 18:36:56 gcp-cluster-control-plane kubelet[1439]: E0716 18:36:56.441136    1439 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"gcp-cluster-control-plane\" not found" node="gcp-cluster-control-plane"
