NAMESPACE     NAME                            POD-SELECTOR                         AGE
backend       backend-access-control          app=backend,tier=api                 13m
backend       backend-diagnostics-access      app=backend,tier=api                 3m18s
database      database-access-control         app=database,tier=data               13m
database      database-port-specific          app=database,tier=data               8m4s
diagnostics   diagnostics-controlled-egress   app=network-debug,role=diagnostics   3m25s
diagnostics   diagnostics-default-deny        <none>                               3m25s
frontend      frontend-access-control         app=frontend,tier=web                12m
frontend      frontend-default-deny           <none>                               8m21s
frontend      frontend-ingress-control        app=frontend,tier=web                8m12s
